id,name,artist,album,album_art_url,duration_ms,popularity,explicit,release_year,uri,tag_energetic,tag_high_energy,tag_upbeat,tag_uptempo,tag_calm,tag_relaxing,tag_mellow,tag_lo_fi,tag_ambient,tag_happy,tag_feel_good,tag_uplifting,tag_sad,tag_melancholic,tag_melancholy,tag_dark,tag_depressing,tag_angry,tag_aggressive,tag_intense,tag_workout,tag_running,tag_gym,tag_study,tag_focus,tag_concentration,tag_sleep,tag_party,tag_dance,tag_dancing,tag_club,tag_chill,tag_chillout,tag_background,tag_acoustic,tag_electronic,tag_instrumental,tag_indie,tag_pop,tag_hip_hop,tag_rap,tag_rock,tag_metal,tag_jazz,tag_classical,tag_soul,tag_rnb,tag_randb,listeners_log,playcount_log,mood_score,energy_proxy,release_recency,cluster_id,mood_label
2vzyqt2PutPPxAl52xvBHU,Dead forever,venturing,Ghostholding,https://i.scdn.co/image/ab67616d0000b27336b4cbb51dcf0afd7dd3cfcb,243645,0,0,2025,spotify:track:2vzyqt2PutPPxAl52xvBHU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.731201837120247,5.792837662992971,0.0,0.0,0.975609756097561,0,Chill / Relaxed
5cvFePHQn46kDhgruTPV3M,Believe,venturing,Ghostholding,https://i.scdn.co/image/ab67616d0000b273a8b2e7742686b723f6b7e159,219143,0,0,2025,spotify:track:5cvFePHQn46kDhgruTPV3M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.837228481176473,5.82088554199203,0.0,0.0,0.975609756097561,2,Late Night / Dark
2jSP7LvbDLykVeU7olF5EC,Sheets - Demo,quannnic,Sheets,https://i.scdn.co/image/ab67616d0000b27364d69e725d7cf51618cb2cba,198904,0,0,2022,spotify:track:2jSP7LvbDLykVeU7olF5EC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.689051225666981,5.494047399139343,0.0,0.0,0.9024390243902439,2,Late Night / Dark
0BIsbY5UmkIMejNU55a0rv,Flash in the Pan,Jane Remover,Flash in the Pan,https://i.scdn.co/image/ab67616d0000b2732f0ee15bfc24b770a17e919e,223365,0,1,2024,spotify:track:0BIsbY5UmkIMejNU55a0rv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.205902356214027,6.395876907668646,0.0,0.0025,0.9512195121951219,1,Chill / Relaxed
16lBbgE9PBhxX09S2UYNyh,ex-freundin,luu,immenser pflegefall,https://i.scdn.co/image/ab67616d0000b2737ac50025258e36d1cf7215e1,94084,0,1,2024,spotify:track:16lBbgE9PBhxX09S2UYNyh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.267500259393266,5.317536851502383,0.0,0.0,0.9512195121951219,2,Late Night / Dark
74HsNf2R9s09gpib6m9nbz,Do You Know Who You Are?,Texas Is The Reason,Do You Know Who You Are?: The Complete Collection,https://i.scdn.co/image/ab67616d0000b273198d3379f0eb1599fc6a5da1,163053,0,0,2013,spotify:track:74HsNf2R9s09gpib6m9nbz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2494649690512745,6.032945768615853,0.0,0.0,0.6829268292682927,2,Late Night / Dark
5BUTPG0Csnl1fF5RFg5lUH,How To Teleport,Jane Remover,♡,https://i.scdn.co/image/ab67616d0000b27316f22f331f822af67bbfc400,273285,0,1,2025,spotify:track:5BUTPG0Csnl1fF5RFg5lUH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.010486527469298,6.116246677957355,0.0,0.0425,0.975609756097561,0,Chill / Relaxed
7DkhurTHb7EAjJ1FoWFQDD,MY JEALOUSY - Super Slowed,vivi baby,MY JEALOUSY (Remixes),https://i.scdn.co/image/ab67616d0000b273675e6df6b2b188482baeb533,186562,0,1,2026,spotify:track:7DkhurTHb7EAjJ1FoWFQDD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.142514604999374,4.951745389138276,0.0,0.0,1.0,2,Late Night / Dark
598WcnXecQfBDquCqxafWN,Breathing Light,Nitin Sawhney,Onezero,https://i.scdn.co/image/ab67616d0000b2735366f0522e476615f416eedb,236760,0,0,2013,spotify:track:598WcnXecQfBDquCqxafWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.77526083313605,5.28117886563073,0.0,0.0,0.6829268292682927,0,Chill / Relaxed
2GTPcID1DIda8t5TeRVUOf,Starcharts,Pasteboard,Glitter,https://i.scdn.co/image/ab67616d0000b2738184dc6dceeae9c042246281,143000,0,0,2006,spotify:track:2GTPcID1DIda8t5TeRVUOf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.850621732687537,5.542299973766217,0.0,0.0,0.5121951219512195,2,Late Night / Dark
